日期,月,日,號,室,月份如適用,摘要,收入/支出,金額,備註, 運算 
1/2/25,1,2,147,,1月,租金,收入,"9,000",1樓店面," 9,000 "
1/2/25,1,2,149,5B,1月,租金,收入,"4,000",," 4,000 "
1/2/25,1,2,149,5B,1月,住戶電費,收入,"1,500",," 1,500 "
1/4/25,1,4,2,4B,1月,租金,收入,"4,000",," 4,000 "
1/4/25,1,4,2,4B,1月,住戶電費,收入,300,, 300 
1/5/25,1,5,2,5E,1月,租金,收入,4500,," 4,500 "
1/5/25,1,5,2,5E,1月,住戶電費,收入,370,, 370 
1/6/25,1,6,2,1A,1月,租金,收入,"4,000",," 4,000 "
1/6/25,1,6,2,1A,1月,住戶電費,收入,265,, 265 
1/7/25,1,7,2,4A,1月,租金,收入,"4,200",450," 4,200 "
1/7/25,1,7,2,4A,1月,住戶電費,收入,450,, 450 
1/8/25,1,8,,,12月,管理員薪水,支出,28000,," (28,000)"
1/8/25,1,8,6,5F,1月,租金,收入,4000,," 4,000 "
1/8/25,1,8,6,5F,1月,住戶電費,收入,290,, 290 
1/8/25,1,8,2,4D,1月,租金,收入,4300,," 4,300 "
1/8/25,1,8,2,4D,1月,住戶電費,收入,875,, 875 
1/8/25,1,8,147,3A,1月,租金,收入,5000,," 5,000 "
1/8/25,1,8,147,3A,1月,住戶電費,收入,460,, 460 
1/8/25,1,8,149,3B,1月,租金,收入,4700,," 4,700 "
1/8/25,1,8,149,3B,1月,住戶電費,收入,770,, 770 
1/8/25,1,8,2,1D,1月,租金,收入,4200,," 4,200 "
1/8/25,1,8,2,1D,1月,住戶電費,收入,445,, 445 
1/8/25,1,8,2,3D,1月,租金,收入,4200,," 4,200 "
1/8/25,1,8,2,3D,1月,住戶電費,收入,960,, 960 
1/9/25,1,9,6,2E,1月,租金,收入,4300,," 4,300 "
1/9/25,1,9,6,2E,1月,住戶電費,收入,860,, 860 
1/9/25,1,9,2,3B,1月,租金,收入,4200,," 4,200 "
1/9/25,1,9,2,3B,1月,住戶電費,收入,300,, 300 
1/9/25,1,9,,,,匯馬玲帳戶,支出,"50,000",," (50,000)"
1/9/25,1,9,6,3F,1月,租金,收入,"4,300",," 4,300 "
1/9/25,1,9,6,3F,1月,住戶電費,收入,710,, 710 
1/9/25,1,9,,,,,支出,240,匯費2025/11/6/11/13.18. 12/3.11.17.24, (240)
1/9/25,1,9,2,3A,1月,租金,收入,4000,," 4,000 "
1/9/25,1,9,2,3A,1月,住戶電費,收入,630,, 630 
1/9/25,1,9,6,2A,1月,租金,收入,4500,," 4,500 "
1/9/25,1,9,6,2A,1月,住戶電費,收入,490,, 490 
1/9/25,1,9,147,2A,1月,住戶電費,收入,90,, 90 
1/10/25,1,10,149,,,維修費,支出,500,後面鐵門, (500)
1/10/25,1,10,147,4B,1月,租金,收入,"5,000",," 5,000 "
1/10/25,1,10,147,4B,1月,住戶電費,收入,870,, 870 
1/11/25,1,11,6,4B,,退押金,支出,"8,600",退租," (8,600)"
1/11/25,1,11,6,4B,1月,住戶電費,收入,120,退租, 120 
1/11/25,1,11,149,2A,1月,租金,收入,"4,000",," 4,000 "
1/11/25,1,11,149,2A,1月,住戶電費,收入,600,, 600 
1/11/25,1,11,6,5D,1月,住戶電費,收入,530,, 530 
1/13/25,1,13,,,12月,管理員獎金,支出,"8,000",空房獎金," (8,000)"
1/13/25,1,13,6,1D,1月,租金,收入,"4,200",," 4,200 "
1/13/25,1,13,6,1D,1月,住戶電費,收入,720,, 720 
1/13/25,1,13,149,5A,1月,租金,收入,"4,000",," 4,000 "
1/13/25,1,13,149,5A,1月,住戶電費,收入,840,, 840 
1/13/25,1,13,2,5C,1月,租金,收入,"4,500",," 4,500 "
1/13/25,1,13,2,5C,1月,住戶電費,收入,"2,100",," 2,100 "
1/14/25,1,14,,,,匯馬玲帳戶,支出,"50,000",," (50,000)"
1/14/25,1,14,6,4F,1月,租金,收入,"4,300",," 4,300 "
1/14/25,1,14,6,4F,1月,住戶電費,收入,680,, 680 
1/14/25,1,14,2,4C,1月,租金,收入,"4,200",," 4,200 "
1/14/25,1,14,2,4C,1月,住戶電費,收入,"1,250",," 1,250 "
1/14/25,1,14,2,3E,1月,租金,收入,"4,200",," 4,200 "
1/14/25,1,14,2,3E,1月,住戶電費,收入,900,, 900 
1/14/25,1,14,149,2B,1月,租金,收入,"4,600",," 4,600 "
1/14/25,1,14,149,2B,1月,住戶電費,收入,750,, 750 
1/14/25,1,14,6,4C,1月,租金,收入,"3,300",," 3,300 "
1/14/25,1,14,6,4C,1月,住戶電費,收入,"1,230",," 1,230 "
1/14/25,1,14,2,4C,,新設備,支出,"4,000",衣櫥," (4,000)"
1/14/25,1,14,2,2C,9月,住戶電費,收入,600,, 600 
1/14/24,1,14,2,2C,10月,住戶電費,收入,720,, 720 
1/14/24,1,14,2,2C,11月,住戶電費,收入,870,, 870 
1/14/24,1,14,2,2C,12月,住戶電費,收入,120,, 120 
1/14/25,1,14,2,2A,1月,租金,收入,"4,000",," 4,000 "
1/14/25,1,14,2,2A,1月,住戶電費,收入,240,, 240 
1/14/25,1,14,2,2D,1月,租金,收入,4500,," 4,500 "
1/14/25,1,14,2,2D,1月,住戶電費,收入,540,, 540 
11/15/25,11,15,,,,維修費,支出,4490,電梯," (4,490)"
1/15/25,1,15,6,1C,1月,租金,收入,3300,," 3,300 "
1/15/25,1,15,6,1C,1月,住戶電費,收入,420,, 420 
1/15/25,1,15,2,1C,1月,租金,收入,4200,," 4,200 "
1/15/25,1,15,2,1C,1月,住戶電費,收入,570,, 570 
1/16/25,1,16,149,2C,1月,租金,收入,4700,," 4,700 "
1/16/25,1,16,149,2C,1月,住戶電費,收入,25,, 25 
1/17/25,1,17,149,4A,1月,租金,收入,5000,," 5,000 "
1/17/25,1,17,149,4A,1月,住戶電費,收入,1260,," 1,260 "
1/21/25,1,21,2,5B,,押金,收入,9000,," 9,000 "
1/21/25,1,21,2,5B,1月,租金,收入,4500,," 4,500 "
1/22/25,1,22,6,1A,1月,租金,收入,4500,," 4,500 "
1/22/25,1,22,6,1A,1月,住戶電費,收入,280,, 280 
1/22/25,1,22,6,1B,1月,租金,收入,4500,," 4,500 "
1/22/25,1,22,6,1B,1月,住戶電費,收入,600,, 600 
1/22/25,1,22,2,5A,1月,租金,收入,4000,," 4,000 "
1/22/25,1,22,2,5A,1月,住戶電費,收入,300,, 300 
1/22/25,1,22,,,,匯馬玲帳戶,支出,50000,," (50,000)"
1/22/25,1,22,147,3B,1月,租金,收入,5000,," 5,000 "
1/22/25,1,22,147,3B,1月,住戶電費,收入,1500,," 1,500 "
